Format Version,1.25,Take Name,Take 2026-01-05 06.23.38 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-05 06.23.39.046 下午,Capture Start Frame,526605,Total Frames in Take,2426,Total Exported Frames,2426,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1175,Unlabeled 1175,Unlabeled 1175
,ID,"22B:C34CB1E4EA1611F0","22B:C34CB1E4EA1611F0","22B:C34CB1E4EA1611F0"
,Parent,,,
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
287,2.391667,31.662210,123.199226,239.247772
288,2.400000,31.662722,123.212326,239.239578
289,2.408333,31.662769,123.206932,239.243088
290,2.416667,31.660526,123.219109,239.237366
291,2.425000,31.657942,123.209892,239.242386
292,2.433333,31.659063,123.188004,239.247009
293,2.441667,31.661228,123.209473,239.232132
294,2.450000,31.658951,123.205620,239.246002
295,2.458333,31.654346,123.209801,239.243576
296,2.466667,31.655222,123.196472,239.249969
297,2.475000,31.662605,123.194588,239.237808
298,2.483333,31.653088,123.191704,239.243530
299,2.491667,31.646847,123.211380,239.244354
300,2.500000,31.626205,123.195656,239.258392
301,2.508333,31.581581,123.163559,239.262161
302,2.516667,31.532171,123.083229,239.211258
303,2.525000,31.493464,123.032509,239.212280
304,2.533333,31.491268,123.017471,239.194199
305,2.541667,31.530373,123.001122,239.175735
306,2.550000,31.531752,123.031425,239.189285
307,2.558333,31.537510,123.138580,239.259155
308,2.566667,31.536676,123.166656,239.274551
309,2.575000,31.541664,123.054932,239.214478
310,2.583333,31.570259,123.032249,239.195312
311,2.591667,31.563547,123.040955,239.186050
312,2.600000,31.550392,123.041359,239.228363
313,2.608333,31.582937,123.156731,239.255676
314,2.616667,31.610191,123.167206,239.248260
315,2.625000,31.608112,123.162575,239.253403
316,2.633333,31.594847,123.181213,239.257767
317,2.641667,31.557936,123.077911,239.216370
318,2.650000,31.555113,123.026260,239.201767
319,2.658333,31.555809,123.023613,239.195816
320,2.666667,31.534477,123.030762,239.206451
321,2.675000,31.528496,123.052315,239.211502
322,2.683333,31.535727,123.053070,239.200928
323,2.691667,31.541821,123.066414,239.179672
324,2.700000,31.539948,123.049995,239.183365
325,2.708333,31.531893,123.058685,239.181488
326,2.716667,31.541008,123.028381,239.187958
327,2.725000,31.563051,123.048042,239.188507
328,2.733333,31.568726,123.059074,239.212357
329,2.741667,31.580788,123.158440,239.270905
330,2.750000,31.584709,123.164955,239.257050
331,2.758333,31.566319,123.043709,239.224304
332,2.766667,31.563204,123.027710,239.211441
333,2.775000,31.549797,123.035294,239.212784
334,2.783333,31.544395,123.050880,239.204483
335,2.791667,31.545292,123.055405,239.195190
336,2.800000,31.545214,123.044785,239.209488
337,2.808333,31.532307,123.049835,239.204453
338,2.816667,31.530268,123.046616,239.193054
339,2.825000,31.533062,123.026558,239.178726
340,2.833333,31.538401,123.037857,239.163620
341,2.841667,31.543419,123.039139,239.184830
342,2.850000,31.551815,123.069527,239.184509
343,2.858333,31.562313,123.074379,239.205841
344,2.866667,31.571407,123.055809,239.209320
345,2.875000,31.569738,123.064194,239.204544
346,2.883333,31.559374,123.066422,239.202347
347,2.891667,31.556345,123.042267,239.220367
348,2.900000,31.556513,123.036469,239.214005
349,2.908333,31.554531,123.034615,239.220474
350,2.916667,31.563993,123.148682,239.246307
351,2.925000,31.560640,123.170990,239.230743
352,2.933333,31.535082,123.039467,239.206833
353,2.941667,31.532248,123.016914,239.196136
354,2.950000,31.527077,123.047127,239.167557
355,2.958333,31.536524,123.040070,239.179047
356,2.966667,31.537827,123.017456,239.193314
357,2.975000,31.545908,123.049454,239.179199
358,2.983333,31.550056,123.051140,239.192261
359,2.991667,31.547663,123.054596,239.209488
360,3.000000,31.557173,123.041946,239.195709
361,3.008333,31.563559,123.026840,239.196442
362,3.016667,31.562109,123.021004,239.211472
363,3.025000,31.549477,123.029816,239.220825
364,3.033333,31.548277,123.048790,239.220810
365,3.041667,31.540833,123.033127,239.232452
366,3.050000,31.535192,123.030434,239.219742
367,3.058333,31.527891,123.026169,239.213165
368,3.066667,31.524338,123.023323,239.197296
369,3.075000,31.519920,123.012482,239.195831
370,3.083333,31.520031,123.014984,239.194443
371,3.091667,31.515579,123.017418,239.197952
372,3.100000,31.521399,123.040054,239.198303
373,3.108333,31.523403,123.055908,239.182465
374,3.116667,31.526371,123.023697,239.191483
375,3.125000,31.531178,123.025810,239.179840
376,3.133333,31.536150,123.036842,239.181671
377,3.141667,31.525705,123.023964,239.200836
378,3.150000,31.526201,123.004860,239.211914
379,3.158333,31.532631,123.019699,239.203720
380,3.166667,31.532574,123.022827,239.208679
381,3.175000,31.524069,123.019585,239.213135
382,3.183333,31.528912,123.031349,239.205612
383,3.191667,31.529058,123.029083,239.200394
384,3.200000,31.536959,123.036354,239.199188
385,3.208333,31.532808,123.031349,239.208405
386,3.216667,31.536560,123.032516,239.199570
387,3.225000,31.546940,123.023056,239.197708
388,3.233333,31.559713,123.054253,239.197998
389,3.241667,31.554707,123.047737,239.209656
390,3.250000,31.558167,123.062698,239.205978
391,3.258333,31.552502,123.037262,239.205536
392,3.266667,31.558142,123.042397,239.205032
